provincia,canton,15/03/2020,16/03/2020,17/03/2020,18/03/2020,19/03/2020,20/03/2020,21/03/2020,22/03/2020,23/03/2020,24/03/2020,25/03/2020,26/03/2020,27/03/2020,28/03/2020,29/03/2020,30/03/2020,31/03/2020,01/04/2020,02/04/2020,03/04/2020
Heredia,San Rafael,0,0,0,0,0,0,1,2,2,2,2,2,3,5,5,5,6,6,6,6
Cartago,El Guarco,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,4,4,4,4,5
Alajuela,Orotina,0,0,0,0,0,0,0,0,0,0,1,1,3,3,4,5,5,5,5,5
Heredia,Santo Domingo,0,0,0,1,1,1,1,1,1,1,2,3,3,3,3,3,3,3,5,5
San José,Vázquez de Coronado,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,3,3,3,4,5
Alajuela,Naranjo,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,3,4
Guanacaste,Nicoya,1,1,1,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,4,4
Cartago,Oreamuno,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3,3,3,4,4,4
Puntarenas,Puntarenas,0,0,0,0,0,0,0,0,0,0,1,3,2,2,2,3,3,3,4,4
Alajuela,San Ramón,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,4,4
Alajuela,Sarchí,0,0,0,0,0,0,0,0,0,0,0,2,3,4,4,4,3,3,3,4
San José,Alajuelita,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,3,3,3
San José,Aserrí,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,3
San José,Pérez Zeledón,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Heredia,Santa Barbara,0,0,0,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3
Guanacaste,Santa Cruz,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3
San José,Tarrazú,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,3
Alajuela,Atenas,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2
Heredia,Belén,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2
Guanacaste,Carrillo,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2
Puntarenas,Coto Brus,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2
Puntarenas,Esparza,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2
Cartago,Jiménez,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2
Puntarenas,Montes de Oro,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,2,2
Guanacaste,Tilarán,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2
San José,Turrubares,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2
Cartago,Alvarado,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
Heredia,Flores,0,0,0,2,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
Guanacaste,Hojancha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Guanacaste,Liberia,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
Limón,Limón,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
San José,Mora,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
Puntarenas,Osa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
Heredia,San Isidro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
"",Desconocido,0,0,0,1,1,7,0,0,0,0,0,0,0,3,0,0,0,0,0,0
San José,Puriscal,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
